Year,Month,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region
2014,July,8.081290323,5.05483871,6.50483871,7.245161291,28.36774193,32.00806452,25.04354839,6.995161291,31.65,North
2014,July,5.067526882,4.012903226,4.387096774,4.567741935,29.1516129,33.17419355,26.12258065,10.48333333,35.27666667,North-East
2014,July,5.447311828,4.003297491,5.086738351,5.288673835,28.81290323,30.26774194,26.28064516,13.85483871,38.16129032,South-East
2014,July,6.133333333,4.159139785,4.939784946,5.591397849,29.23548387,31.28064516,26.9516129,9.938709677,37.34193548,South-West
2014,July,7.163275435,4.669086022,5.719623656,6.278225807,28.53935484,31.62193548,25.62631813,7.485161291,33.24645161,West
2014,August,6.698207886,4.450896057,5.488172043,6.156272401,27.49032258,30.44354839,25.01129033,6.940322581,33.73870968,Central
2014,August,5.396774194,3.790322581,4.638709677,5.041935484,28.21935484,31.45483871,25.72258065,4.883870968,26.42903226,Central Business District and Surrounding
2014,August,5.901843318,4.31827957,5.189247312,5.668817204,27.99516129,30.90322581,25.46344086,8.260215054,34.44301076,East
2014,August,5.33953405,3.773512545,4.509641577,4.928781362,27.53333333,30.50860215,25.24301075,7.978494623,36.96774194,Islands
2014,August,6.900737327,4.657258065,5.646543779,5.986751152,27.4,30.90967742,24.40990784,7.320852535,32.13652074,North
2014,August,5.883870968,4.625806452,5.341935484,5.75483871,28,31.87419355,25.29032258,9.590322581,35.00967742,North-East
2014,August,5.570967742,3.4,4.309677419,5.093548387,,,,,,South-East
2014,August,8.124731182,5.19139785,6.369892473,7.443010753,28.25483871,30.28709677,25.98064516,9.767741935,36.20645161,South-West
2014,August,7.478767281,4.448267002,5.452865521,6.159694177,27.46069363,30.59184178,24.82915054,7.106574501,31.67163594,West
2014,September,3.887407407,2.434814815,3.21037037,3.588148148,28.4,32.04333334,25.78,7.826666667,34.31666667,Central
2014,September,6.163333333,3.83,4.67,5.07,29.02,32.77666667,26.34666667,5.476666667,25.78333333,Central Business District and Surrounding
2014,September,3.44967433,2.18445977,2.641241379,2.835356322,28.82333333,32.4,26.07,9.081111111,32.95666667,East
2014,September,4.3,2.931111111,3.515555556,3.853333333,28.30111111,31.81444445,25.88777778,8.24,30.61444444,Islands
2014,September,5.763333333,3.416666667,4.466666667,5.73,28.0037037,32.44333333,23.75,9.26,30.68666667,North
2014,September,3.228947369,2.652631579,3.273684211,3.315789474,28.90333333,33.24333333,25.78333333,10.45,34.29666667,North-East
2014,September,3.616666666,2.166666667,2.7,2.98,28.37333333,30.25,26.23666667,12.9,36.43666667,South-East
2014,September,3.217777778,2,2.52,2.842222222,28.99,31.52333333,26.86333333,10.38,33.16333333,South-West
2014,September,4.136904762,2.19025974,2.838441558,3.273419913,28.32944322,31.99866667,25.37281167,7.544074075,31.32918518,West
2014,October,4.680310633,3.247096774,3.950800478,4.244540024,28.33586021,32.22317205,25.70607527,6.186129033,30.0277957,Central
2014,October,3.948387097,2.719354839,3.164516129,3.248387097,29.21290323,33.03870968,26.69677419,4.941935484,23.93225806,Central Business District and Surrounding
2014,October,4.15483871,2.602688172,3.295698925,3.640860215,28.67580646,32.49247312,26.05268817,7.415053763,29.51935484,East
2014,October,2.509677419,1.929032258,2.273118279,2.376344086,28.46021505,31.91827957,26.16774194,7.232258064,26.62688172,Islands
2014,October,4.65483871,3.266451613,3.967956989,4.237849462,27.94595238,32.76268818,24.5483871,7.10827957,29.81698925,North
2014,October,6.218602151,3.14,4.333333333,4.74,28.76774194,33.27741935,25.82258065,8.851612903,32.06129032,North-East
2014,October,2.509677419,1.944086022,2.234408602,2.324731183,28.35806452,30.20967742,26.49354839,9.374193548,30.21612903,South-East
2014,October,1.793620072,1.286666667,1.419713262,1.506594982,28.93333333,31.62,26.83,8.8,29.68,South-West
2014,October,4.17843318,2.826401985,3.485293631,3.791497105,28.28481567,32.20709678,25.46354839,6.330322581,28.15419355,West
2014,November,11.36296296,7.120740741,8.908148149,9.651851852,27.26166667,31.55333333,24.67166667,4.84,29.99666667,Central
2014,November,10.76666666,6.183333334,7.62,8.996666667,28.08666667,32.46666667,25.3,5.05,30.64,Central Business District and Surrounding
2014,November,8.399523809,5.327222222,6.363888889,6.882777778,27.68166667,31.91777778,25.14,6.033333333,28.27444444,East
2014,November,9.606666667,6.14,7.593333333,8.176666667,27.33,31.455,24.875,4.78,25.84333333,Islands
2014,November,10.73133333,6.586666667,8.046666666,8.615833333,27.06982759,32.15166667,24.07,6.803333334,30.615,North
2014,November,11.30666667,5.406666667,6.533333333,7.026666667,27.70333333,32.59333333,24.91333333,7.813333333,34.04333333,North-East
2014,November,8.688888889,5.457777778,6.4,6.924444444,27.64333333,30.21666667,25.57666667,7.203333333,33.72333333,South-East
2014,November,10.97111111,6.28,8.186666667,8.908888889,27.88,30.98666667,25.57666667,8.453333333,37.24666667,South-West
2014,November,9.983809523,6.70051282,8.16923077,8.803076923,27.38282759,31.592,24.67087356,6.043333334,31.87733333,West
2014,December,10.45448029,5.555125448,7.099928315,8.228387096,26.75806452,30.54516129,24.3983871,5.569354839,30.24032258,Central
2014,December,14.61612903,7.622580646,10.44516129,11.91935484,27.39354839,31.49032258,24.77096774,6.377419355,31.06129032,Central Business District and Surrounding
2014,December,9.249769585,5.382258065,6.316666667,6.967204301,27.21612904,30.83978495,24.97956989,8.778494625,33.92795699,East
2014,December,13.60860215,7.073118279,9.015053764,11.16344086,26.89032258,30.12795699,24.75806452,8.951612902,33.61612903,Islands
2014,December,9.590322579,4.575806452,5.824193549,6.85,26.67774194,30.73064516,24.03548387,8.6,27.72082111,North
2014,December,7.258064516,4.838709677,5.690322581,6.374193548,27.37419355,31.26129032,25.00322581,9.509677419,33.66774194,North-East
2014,December,11.62150537,5.821505376,7.419354839,8.817204301,27.11290323,29.8,25.02903226,7.638709677,36.15806452,South-East
2014,December,13.88387097,7.683870968,10.30107527,11.78924731,27.27741935,30.45483871,25.04193548,10.20645161,39.28709677,South-West
2014,December,11.65680272,6.20502186,8.034644926,9.424293985,26.75946237,30.71612903,24.26864055,6.208870967,29.46612903,West
2015,January,3.351945725,2.103174603,2.714157706,2.975704045,26.52903226,30.59516129,24.28064516,7.590322581,33.27903226,Central
2015,January,4.516129032,3.067741936,4.048387097,4.293548387,27.26774194,31.5483871,25.04193548,9.916129032,34.98709677,Central Business District and Surrounding
2015,January,1.906451613,1.039784946,1.225806451,1.467741935,26.99032258,30.89892473,24.80107527,13.86774193,35.54193549,East
2015,January,1.997849462,1.356989247,1.47311828,1.597849462,26.81075269,30.32043011,24.70107527,12.75376344,34.14946237,Islands
2015,January,3.830322581,2.469354839,2.974193548,3.330645162,26.60967742,30.72419355,23.98709677,12.71451613,36.52580645,North
2015,January,2.425806452,0.948387097,1.148387097,1.458064516,27.04193548,31.09354839,24.69677419,15.74193548,37.51612903,North-East
2015,January,2.572043011,1.294623656,1.737634408,1.920430108,26.83870968,29.74193548,25.12580645,10.91290323,38.21935484,South-East
2015,January,2.494623656,1.707526882,1.922580645,2.195698925,27.24516129,30.80645161,25.06774194,13.9516129,38.75483871,South-West
2015,January,2.599247312,1.860714286,2.151267281,2.316935484,26.88740143,31.2233871,24.15443548,8.756129032,29.97548387,West
2015,February,2.698660714,1.769196429,2.293303571,2.595089286,26.61666667,30.97083333,23.70416667,8.2,34.2125,Central
2015,February,1.957142857,1.239285714,1.635714286,1.889285715,27.375,31.57083333,24.89583333,9.84,31.90416667,Central Business District and Surrounding
2015,February,1.226020408,0.810714286,1.014285714,1.141666667,27.05208334,31.27281746,24.4,14.91161905,37.41706349,East
2015,February,1.973809524,1.011904762,1.319047619,1.816666667,26.85555556,30.27916667,24.47638889,14.3,37.13611111,Islands
2015,February,1.62,0.948214286,1.244642857,1.578571428,26.75016026,31.29226191,23.76994048,13.92114286,39.14136905,North
2015,February,0.8375,0.428571429,0.578571429,0.642857143,27.1,31.69642857,24.30357143,18.34285714,40.56785714,North-East
2015,February,1.766666667,1.045238095,1.521428572,1.678571428,26.88333333,30.05833333,24.80833333,11.248,40.225,South-East
2015,February,1.442857143,0.830952381,1.15,1.335714286,27.33333333,31.16666667,24.9875,12.896,37.81666667,South-West
2015,February,2.39547619,1.401020408,1.818367347,2.176785714,26.96517094,31.55843254,23.92021605,8.871190477,32.85,West
2015,March,5.699480905,3.863737486,4.791002348,5.309788654,27.66935484,32.26129032,24.9983871,6.720967742,33.31290323,Central
2015,March,3.664516129,2.022580645,2.809677419,3.364516129,28.43548387,32.70967742,25.99354839,7.341935484,27.86774194,Central Business District and Surrounding
2015,March,3.494470046,2.196774194,2.566666667,2.869892473,28.16935484,32.47204301,25.52150537,11.58387097,35.08924731,East
2015,March,4.178494624,2.221505376,2.96344086,3.711827957,27.72150538,31.35913978,25.34408602,11.59569892,34.41182796,Islands
2015,March,5.937463849,4.080367075,5.049054505,5.443993326,27.78548387,32.6516129,24.62580645,11.12258065,36.64193549,North
2015,March,4.956451613,3.070967742,3.587096774,4.058064516,28.16774194,33.13870968,25.42580645,13.58387097,38.17096774,North-East
2015,March,2.974193549,1.840860215,2.221505376,2.529032258,27.83870968,30.72258065,25.88387097,8.987096774,36.13870968,South-East
2015,March,5.196166433,2.772043011,3.615053764,4.266666667,28.19354839,31.80967742,25.72903226,10.11612903,34.11612903,South-West
2015,March,5.643655914,3.698156682,4.604608295,5.02764977,27.82692308,32.45752688,24.86236559,7.089784946,30.42311828,West
2015,April,6.447037037,5.046296296,5.944074074,6.323333333,28.11833333,32.76333333,25.32166667,5.47,31.935,Central
2015,April,9.109655173,6.79770115,8.104597701,8.934482759,28.86,33,26.03,5.533333333,30.22666667,Central Business District and Surrounding
2015,April,3.323809524,2.327777778,2.661111111,2.933333333,28.68166667,33.24555556,26.01666667,8.50111111,31.44888889,East
2015,April,5.978888889,4.588888889,5.333333333,5.722222222,28.19333333,31.93333333,25.70111111,9.675555555,34.31444444,Islands
