Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region,Year,Month
-0.35227820772653784,-0.31619094018474747,-0.42425020247222517,-0.47632684547988086,-0.06329735814319389,-1.7273106731878836,0.7897722908232295,0.6442754661144345,0.6036843285577189,South-East,2018,10
-0.20280122040301943,-0.29015406291394824,-0.2402063601519867,-0.3127091893357268,0.10771020944901555,-0.9325429165616118,0.7858651774150319,0.25568505442219536,0.8029767956793545,South-West,2018,10
1.011203250912313,1.2985382303296413,1.3048581278860336,1.2177533653179546,-0.5679782065943775,0.11704444494185849,-0.7847975497066895,-1.0427959941716645,-0.8455966258069407,West,2018,10
1.8109961474026879,2.169402048849754,2.2229428714866377,2.2196900886436133,-1.2406774505209996,-0.24458611164352242,-1.6636393526115378,-1.3913056971519417,-0.41606146236991814,Central,2018,11
1.4273728621021509,1.5825132671987374,1.80543198626227,1.8190741064960856,-0.2284277187098694,0.19087784678512562,-0.5210668738343187,-1.1967594644107917,-1.0210393378064313,Central Business District and Surrounding,2018,11
0.25390199885094666,0.5022142254596679,0.3462975908380659,0.24769505495235264,-0.403829479475976,-0.10712945261448105,-0.8494387050053243,-0.9805969837256355,-0.6492300180424423,East,2018,11
1.4537217486447311,1.938279350673596,1.8321389429677253,1.6722084880394652,-1.2181331108993734,-0.32617079521075043,-1.3592673694880928,0.2717866687059068,-1.2977501605163255,Islands,2018,11
1.484403741330775,2.05948809727833,1.8726792555577225,1.7727548435681744,-1.2428324281543397,-0.2873393561365126,-1.9485615221906016,-0.7096898104034071,-0.7455101138585779,North,2018,11
1.015899208996878,1.5521409534975341,1.475235619543213,1.2911570150786342,-0.16296786976312483,-0.3012590139780299,-0.30422164364480897,-1.0193333001508627,-0.01836953421206569,North-East,2018,11
0.5639742165055348,0.7633318932865955,0.7620657308865877,0.7218728137435304,-0.48844314076598605,-1.9031257568400526,-0.08043791394264753,0.616679764690102,0.68639802442463,South-East,2018,11
